4263000 | Outras Despesas | tipo(fallback)=F | subcat=Other Fixed | valor=-270.71
4257000 | Aluguéis | tipo(fallback)=V | subcat=Handling | valor=-4.96
4201100 | H.Extras Salários | tipo(fallback)=V | subcat=Labour | valor=-4.93
4236020 | Prestados - Serviços | tipo(fallback)=F | subcat=Other Fixed | valor=-4.88
4245100 | Assistência Médica-Horista | tipo(fallback)=V | subcat=Labour | valor=-4.78
4254000 | Seguros | tipo(fallback)=F | subcat=Other Fixed | valor=-4.77
4201120 | Prov.Férias Hor. | tipo(fallback)=V | subcat=Labour | valor=-4.32
4201170 | Prov.Enc.Férias Hor. | tipo(fallback)=V | subcat=Labour | valor=-4.29
4246000 | Transporte de Funcionários | tipo(fallback)=F | subcat=Other Fixed | valor=-4.14
4236020 | Prestados - Serviços | tipo(fallback)=F | subcat=Other Fixed | valor=-4.13
4245100 | Assistência Médica-Horista | tipo(fallback)=V | subcat=Labour | valor=-3.82
4201180 | Prov.Enc.13º Sal.Hor. | tipo(fallback)=V | subcat=Labour | valor=-3.67
4263000 | Outras Despesas | tipo(fallback)=F | subcat=Other Fixed | valor=-3.30
4201110 | Prov.13º Salário Hor. | tipo(fallback)=V | subcat=Labour | valor=-3.23
4201170 | Prov.Enc.Férias Hor. | tipo(fallback)=V | subcat=Labour | valor=-2.49
4238000 | Tributos | tipo(fallback)=F | subcat=Other Fixed | valor=-2.38
4255000 | Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=-2.28
4255002 | Depreciação IFRS16 | tipo(fallback)=V | subcat=???SEM MAPA??? | valor=-2.18
4232000 | Viagens, Cond. e Refeições | tipo(fallback)=F | subcat=Other Fixed | valor=-2.13
4255000 | Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=-2.13
4205250 | Energia Elétrica | tipo(fallback)=V | subcat=Other Variable | valor=2.07
4200130 | Prov.PLR Mensal. | tipo(fallback)=F | subcat=Labour | valor=-2.02
4236300 | Materiais Diretos - F. Units | tipo(fallback)=V | subcat=Direct Materials | valor=-1.92
4203055 | Manutenção Terceiros | tipo(fallback)=F | subcat=Other Fixed | valor=-1.91
4255000 | Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=-1.89
4201180 | Prov.Enc.13º Sal.Hor. | tipo(fallback)=V | subcat=Labour | valor=-1.86
4247200 | Despesas Sociais | tipo(fallback)=F | subcat=Other Fixed | valor=-1.83
4201170 | Prov.Enc.Férias Hor. | tipo(fallback)=V | subcat=Labour | valor=-1.60
4222100 | Gás p/ Empilhadeira | tipo(fallback)=V | subcat=Other Variable | valor=-1.60
4203050 | Manutenção Materiais | tipo(fallback)=F | subcat=Other Fixed | valor=-1.46
4245000 | Assistência Médica-Mensalista | tipo(fallback)=F | subcat=Labour | valor=-1.29
4203055 | Manutenção Terceiros | tipo(fallback)=F | subcat=Other Fixed | valor=-1.27
4200120 | Prov.Férias Mensal. | tipo(fallback)=F | subcat=Labour | valor=-1.22
4201180 | Prov.Enc.13º Sal.Hor. | tipo(fallback)=V | subcat=Labour | valor=-1.17
4260000 | Equiptos.Segur.e Uniformes | tipo(fallback)=F | subcat=Other Fixed | valor=-1.15
4200110 | Prov.13º Sal.Mensal. | tipo(fallback)=F | subcat=Labour | valor=-0.92
4255000 | Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=-0.60
4257000 | Aluguéis | tipo(fallback)=V | subcat=Handling | valor=0.46
4200170 | Prov.Enc.Férias Mensal. | tipo(fallback)=F | subcat=Labour | valor=-0.45
4238000 | Tributos | tipo(fallback)=F | subcat=Other Fixed | valor=-0.44
4202100 | Limpeza Por Terceiros | tipo(fallback)=F | subcat=Other Fixed | valor=-0.36
4200180 | Prov.Enc.13º Sal.Mensal. | tipo(fallback)=F | subcat=Labour | valor=-0.34
4258002 | HW Aluguel | tipo(fallback)=F | subcat=Other Fixed | valor=-0.33
4263000 | Outras Despesas | tipo(fallback)=F | subcat=Other Fixed | valor=-0.29
4263000 | Outras Despesas | tipo(fallback)=F | subcat=Other Fixed | valor=-0.29
4244000 | Alimentação | tipo(fallback)=F | subcat=Other Fixed | valor=0.24
4254110 | Seguro Vida em Grupo Horista | tipo(fallback)=V | subcat=Labour | valor=-0.21
4236100 | Materiais Indiretos | tipo(fallback)=F | subcat=Other Fixed | valor=-0.19
4203055 | Manutenção Terceiros | tipo(fallback)=F | subcat=Other Fixed | valor=0.18
4236100 | Materiais Indiretos | tipo(fallback)=F | subcat=Other Fixed | valor=0.13
4254110 | Seguro Vida em Grupo Horista | tipo(fallback)=V | subcat=Labour | valor=-0.12
4244000 | Alimentação | tipo(fallback)=F | subcat=Other Fixed | valor=0.12
4254110 | Seguro Vida em Grupo Horista | tipo(fallback)=V | subcat=Labour | valor=-0.09
4255000 | Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=-0.05
4255200 | Recuperação PIS/COFINS Depreciação | tipo(fallback)=F | subcat=Depreciation | valor=0.05
4258000 | Informática: Desp.c/Hardware | tipo(fallback)=V | subcat=???SEM MAPA??? | valor=-0.04
4254100 | Seguro de Vida Grupo Mensalista | tipo(fallback)=F | subcat=Labour | valor=-0.03
4258010 | Informática: Desp.c/Software | tipo(fallback)=V | subcat=???SEM MAPA??? | valor=-0.02
